"declarationDate","state","placeCode","disasterNumber","title"
"2012-10-30T04:34:00 -04:00","NY",99079,4085,"HURRICANE SANDY"
"2012-10-30T04:34:00 -04:00","NY",99105,4085,"HURRICANE SANDY"
"2012-11-20T21:50:00 -05:00","MD",99041,4091,"HURRICANE SANDY"
"2013-05-10T18:15:00 -04:00","IL",99109,4116,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-05-10T18:15:00 -04:00","IL",99141,4116,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-05-10T18:15:00 -04:00","IL",99169,4116,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-05-10T18:15:00 -04:00","IL",99187,4116,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-05-29T16:23:00 -04:00","ND",99097,4118,"FLOODING"
"2013-05-31T15:00:00 -04:00","IA",99045,4119,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-06-18T16:02:00 -04:00","MI",99061,4121,"FLOODING "
"2013-06-18T16:02:00 -04:00","MI",99111,4121,"FLOODING "
"2013-06-18T16:02:00 -04:00","MI",99139,4121,"FLOODING "
"2013-06-25T14:25:00 -04:00","AK",86640,4122,"FLOODING"
"2013-07-02T13:40:00 -04:00","IA",99187,4126,"SEVERE STORMS, TORNADOES, AND FLOODING"
"2013-07-10T12:26:00 -04:00","MT",99015,4127,"FLOODING "
"2013-07-10T12:26:00 -04:00","MT",28525,4127,"FLOODING "
"2013-07-12T18:09:00 -04:00","ND",99053,4128,"SEVERE STORMS AND FLOODING"
"2013-07-12T18:09:00 -04:00","ND",99095,4128,"SEVERE STORMS AND FLOODING"
"2013-07-12T18:38:00 -04:00","NY",99053,4129,"SEVERE STORMS AND FLOODING"
"2013-07-25T14:16:00 -04:00","MN",99155,4131,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-07-25T14:16:00 -04:00","MN",99051,4131,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-07-12T18:38:00 -04:00","NY",99113,4129,"SEVERE STORMS AND FLOODING"
"2013-07-25T14:16:00 -04:00","MN",99011,4131,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-07-12T18:38:00 -04:00","NY",99023,4129,"SEVERE STORMS AND FLOODING"
"2013-07-25T14:16:00 -04:00","MN",99121,4131,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-08-02T13:50:00 -04:00","SD",99077,4137,"SEVERE STORMS, TORNADOES, AND FLOODING "
"2013-08-08T12:10:00 -04:00","WI",99049,4141,"SEVERE STORMS, FLOODING, AND MUDSLIDES"
"2013-09-14T22:55:00 -04:00","CO",99005,4145,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"
"2013-09-14T22:55:00 -04:00","CO",99069,4145,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"
"2013-09-25T09:27:00 -04:00","NC",99021,4146,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"
"2013-09-25T09:27:00 -04:00","NC",99113,4146,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"
"2013-09-25T09:27:00 -04:00","NC",99199,4146,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"
"2013-09-30T19:29:00 -04:00","NM",99029,4148,"SEVERE STORMS AND FLOODING "
"2013-09-30T19:29:00 -04:00","NM",70740,4148,"SEVERE STORMS AND FLOODING "
"2013-10-01T18:19:00 -04:00","PA",99033,4149,"SEVERE STORMS, TORNADOES, AND FLOODING"
"2013-10-01T18:19:00 -04:00","PA",99065,4149,"SEVERE STORMS, TORNADOES, AND FLOODING"
"2013-10-22T16:35:00 -04:00","KS",99101,4150,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING"
"2013-10-22T16:35:00 -04:00","KS",99169,4150,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING"
"2013-10-24T17:30:00 -04:00","NM",70400,4151,"SEVERE STORMS AND FLOODING"
"2013-10-29T12:39:00 -04:00","NM",99011,4152,"SEVERE STORMS, FLOODING, AND MUDSLIDES"
"2013-10-29T12:39:00 -04:00","NM",34690,4152,"SEVERE STORMS, FLOODING, AND MUDSLIDES"
"2013-10-29T12:39:00 -04:00","NM",51580,4152,"SEVERE STORMS, FLOODING, AND MUDSLIDES"
"2013-10-29T12:39:00 -04:00","NM",67000,4152,"SEVERE STORMS, FLOODING, AND MUDSLIDES"
"2013-10-29T12:39:00 -04:00","NM",99055,4152,"SEVERE STORMS, FLOODING, AND MUDSLIDES"
"2013-10-29T21:05:00 -04:00","NC",99109,4153,"SEVERE STORMS, FLOODING, LANDSLIDES, MUDSLIDES"
